Percent of connections that are bidirected: 0.3944938440492476
rule_id, collapses, edges_approx, total_cost, rule_details
12, 8, 0, 229460, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593), (792, 593)]
39, 15, 0, 229291, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 689), ('type_1', 'type_1'), ('type_1', 689), (689, 847), (689, 849)]
23, 9, 0, 229206, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593), (1052, 593)]
11, 30, 0, 229207, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
31, 74, 40, 229244, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 805)]
21, 69, 37, 229280, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
11, 3, 0, 229288, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
0, 7, 1, 229230, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
11, 19, 19, 229260, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
114, 2, 0, 229265, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1052), ('type_1', 'type_1'), (1051, 1052), (1052, 1051)]
109, 2, 0, 229294, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 648), ('type_1', 'type_1'), (648, 649)]
51, 2, 0, 228879, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 118), ('type_0', 766), ('type_1', 'type_1'), ('type_1', 118), (766, 118)]
0, 13, 13, 228747, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
57, 3, 2, 228731, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 177), ('type_1', 'type_1'), ('type_1', 224), ('type_1', 177), (177, 224)]
21, 3, 3, 228745, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
51, 3, 3, 228603, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 118), ('type_0', 766), ('type_1', 'type_1'), ('type_1', 118), (766, 118)]
48, 2, 1, 228082, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 125), ('type_0', 118), ('type_1', 'type_1'), ('type_1', 118), (118, 125), (125, 118)]
31, 1, 1, 228094, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 805)]
0, 2, 2, 228083, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
119, 1, 0, 228053, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 576), ('type_0', 575), ('type_1', 'type_1'), (576, 575)]
126, 1, 0, 228083, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_1', 'type_1'), (426, 427)]
147, 1, 0, 228101, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_1', 'type_1'), (682, 900), (900, 682)]
100, 1, 0, 228131, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 591), ('type_1', 'type_1'), (590, 591)]
21, 1, 2, 228145, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
31, 8, 16, 228180, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 805)]
21, 8, 16, 228215, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
0, 3, 6, 228199, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
21, 7, 14, 228231, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
31, 7, 14, 228263, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 805)]
21, 5, 10, 228289, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
0, 1, 1, 228289, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
21, 4, 8, 228312, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
11, 1, 2, 228326, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
31, 2, 4, 228343, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 805)]
21, 1, 2, 228357, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
0, 1, 2, 228359, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
11, 1, 2, 228373, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
38, 1, 1, 228405, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
31, 1, 2, 228419, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 805)]
104, 1, 1, 228379, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1123), ('type_0', 1125), ('type_1', 'type_1'), (1123, 1125), (1125, 1123)]
21, 3, 6, 228399, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
11, 2, 4, 228416, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
31, 3, 6, 228436, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 805)]
11, 5, 9, 228460, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
0, 6, 11, 228415, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
48, 1, 2, 228249, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 125), ('type_0', 118), ('type_1', 'type_1'), ('type_1', 118), (118, 125), (125, 118)]
21, 2, 6, 228270, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
11, 2, 6, 228291, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
21, 9, 27, 228347, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
11, 2, 4, 228364, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
21, 9, 27, 228420, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
11, 5, 15, 228456, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
21, 2, 6, 228477, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
31, 1, 3, 228493, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 805)]
0, 3, 9, 228483, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
21, 2, 6, 228504, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
11, 1, 2, 228518, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
21, 1, 3, 228534, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
0, 1, 2, 228536, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
21, 1, 3, 228552, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
11, 2, 6, 228573, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
0, 4, 12, 228556, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
31, 2, 6, 228577, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 805)]
