Percent of connections that are bidirected: 0.3944938440492476
rule_id, collapses, edges_approx, total_cost, rule_details
39, 3, 0, 229501, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  844)  ('type_1'  'type_1')  ('type_1'  351)  (844  351)  (1088  351)  (1163  351)]
8, 8, 0, 229336, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  539)  ('type_1'  'type_1')  ('type_1'  539)  (539  768)  (539  1135)  (539  1137)]
34, 5, 0, 229307, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  660)  ('type_1'  'type_1')  ('type_1'  539)  (660  539)  (1030  539)]
28, 9, 0, 229222, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  539)  ('type_1'  'type_1')  ('type_1'  539)  (1030  539)  (1035  539)]
38, 28, 0, 229225, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  660)  ('type_1'  'type_1')  ('type_1'  539)  (660  539)]
0, 33, 0, 229223, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  539)  ('type_1'  'type_1')  ('type_1'  539)  (539  768)]
24, 72, 43, 229268, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  539)  ('type_1'  'type_1')  ('type_1'  539)  (1018  539)]
38, 5, 0, 229274, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  660)  ('type_1'  'type_1')  ('type_1'  539)  (660  539)]
0, 7, 0, 229278, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  539)  ('type_1'  'type_1')  ('type_1'  539)  (539  768)]
37, 6, 0, 229231, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  539)  ('type_1'  'type_1')  ('type_1'  539)  (539  775)  (775  539)]
82, 4, 0, 229210, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  209)  ('type_1'  'type_1')  ('type_1'  209)  ('type_1'  207)  (209  207)]
38, 10, 10, 229231, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  660)  ('type_1'  'type_1')  ('type_1'  539)  (660  539)]
0, 21, 21, 229263, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  539)  ('type_1'  'type_1')  ('type_1'  539)  (539  768)]
37, 4, 4, 229230, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  539)  ('type_1'  'type_1')  ('type_1'  539)  (539  775)  (775  539)]
97, 2, 0, 229235, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1179)  ('type_1'  'type_1')  (1178  1179)  (1179  1178)]
141, 2, 0, 229264, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  354)  ('type_1'  'type_1')  (354  355)]
63, 2, 0, 229089, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  587)  ('type_0'  1143)  ('type_1'  'type_1')  ('type_1'  587)  (1143  587)]
0, 7, 7, 229107, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  539)  ('type_1'  'type_1')  ('type_1'  539)  (539  768)]
38, 5, 5, 229123, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  660)  ('type_1'  'type_1')  ('type_1'  539)  (660  539)]
24, 7, 7, 229141, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  539)  ('type_1'  'type_1')  ('type_1'  539)  (1018  539)]
37, 9, 9, 229053, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  539)  ('type_1'  'type_1')  ('type_1'  539)  (539  775)  (775  539)]
82, 2, 2, 229030, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  209)  ('type_1'  'type_1')  ('type_1'  209)  ('type_1'  207)  (209  207)]
38, 2, 2, 229043, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  660)  ('type_1'  'type_1')  ('type_1'  539)  (660  539)]
63, 3, 3, 228901, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  587)  ('type_0'  1143)  ('type_1'  'type_1')  ('type_1'  587)  (1143  587)]
70, 2, 1, 228380, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  352)  ('type_0'  84)  ('type_1'  'type_1')  ('type_1'  352)  (84  352)  (352  84)]
37, 2, 2, 228369, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  539)  ('type_1'  'type_1')  ('type_1'  539)  (539  775)  (775  539)]
0, 1, 1, 228381, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  539)  ('type_1'  'type_1')  ('type_1'  539)  (539  768)]
363, 1, 0, 228411, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_1'  'type_1')  (426  427)]
572, 1, 0, 228429, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_1'  'type_1')  (682  902)  (902  682)]
159, 1, 0, 228459, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  591)  ('type_1'  'type_1')  (590  591)]
127, 1, 0, 228429, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  576)  ('type_0'  575)  ('type_1'  'type_1')  (576  575)]
38, 1, 2, 228443, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  660)  ('type_1'  'type_1')  ('type_1'  539)  (660  539)]
24, 14, 28, 228496, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  539)  ('type_1'  'type_1')  ('type_1'  539)  (1018  539)]
0, 12, 24, 228543, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  539)  ('type_1'  'type_1')  ('type_1'  539)  (539  768)]
38, 2, 4, 228560, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  660)  ('type_1'  'type_1')  ('type_1'  539)  (660  539)]
37, 5, 9, 228524, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  539)  ('type_1'  'type_1')  ('type_1'  539)  (539  775)  (775  539)]
24, 1, 2, 228538, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  539)  ('type_1'  'type_1')  ('type_1'  539)  (1018  539)]
0, 1, 2, 228552, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  539)  ('type_1'  'type_1')  ('type_1'  539)  (539  768)]
24, 9, 18, 228590, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  539)  ('type_1'  'type_1')  ('type_1'  539)  (1018  539)]
37, 1, 1, 228590, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  539)  ('type_1'  'type_1')  ('type_1'  539)  (539  775)  (775  539)]
0, 3, 6, 228610, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  539)  ('type_1'  'type_1')  ('type_1'  539)  (539  768)]
24, 6, 12, 228639, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  539)  ('type_1'  'type_1')  ('type_1'  539)  (1018  539)]
38, 7, 14, 228671, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  660)  ('type_1'  'type_1')  ('type_1'  539)  (660  539)]
0, 5, 10, 228697, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  539)  ('type_1'  'type_1')  ('type_1'  539)  (539  768)]
38, 2, 3, 228712, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  660)  ('type_1'  'type_1')  ('type_1'  539)  (660  539)]
37, 5, 10, 228678, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  539)  ('type_1'  'type_1')  ('type_1'  539)  (539  775)  (775  539)]
24, 4, 8, 228701, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  539)  ('type_1'  'type_1')  ('type_1'  539)  (1018  539)]
54, 1, 1, 228721, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  65)  ('type_1'  'type_1')  ('type_1'  58)  (58  65)  (65  58)]
307, 1, 1, 228681, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1123)  ('type_0'  1125)  ('type_1'  'type_1')  (1123  1125)  (1125  1123)]
24, 2, 6, 228702, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  539)  ('type_1'  'type_1')  ('type_1'  539)  (1018  539)]
38, 4, 11, 228731, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  660)  ('type_1'  'type_1')  ('type_1'  539)  (660  539)]
24, 11, 33, 228797, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  539)  ('type_1'  'type_1')  ('type_1'  539)  (1018  539)]
37, 1, 2, 228799, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  539)  ('type_1'  'type_1')  ('type_1'  539)  (539  775)  (775  539)]
38, 3, 8, 228823, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  660)  ('type_1'  'type_1')  ('type_1'  539)  (660  539)]
24, 2, 6, 228844, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  539)  ('type_1'  'type_1')  ('type_1'  539)  (1018  539)]
37, 4, 12, 228827, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  539)  ('type_1'  'type_1')  ('type_1'  539)  (539  775)  (775  539)]
0, 3, 9, 228853, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  539)  ('type_1'  'type_1')  ('type_1'  539)  (539  768)]
24, 1, 3, 228869, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  539)  ('type_1'  'type_1')  ('type_1'  539)  (1018  539)]
