Percent of connections that are bidirected: 0.3944938440492476
rule_id, collapses, edges_approx, total_cost, rule_details
29, 3, 0, 229501, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  892)  ('type_1'  'type_1')  ('type_1'  86)  (788  86)  (892  86)  (1142  86)]
85, 8, 0, 229336, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  160)  ('type_1'  'type_1')  ('type_1'  160)  (160  218)  (160  980)  (160  1165)]
14, 5, 0, 229307, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  791)  ('type_1'  'type_1')  ('type_1'  86)  (788  86)  (791  86)]
15, 9, 0, 229222, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  86)  ('type_1'  'type_1')  ('type_1'  86)  (788  86)  (1052  86)]
0, 29, 0, 229224, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1034)  ('type_1'  'type_1')  ('type_1'  895)  (1034  895)]
38, 33, 0, 229222, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  86)  ('type_1'  'type_1')  ('type_1'  86)  (86  310)]
12, 64, 35, 229259, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  86)  ('type_1'  'type_1')  ('type_1'  86)  (517  86)]
0, 4, 0, 229266, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1034)  ('type_1'  'type_1')  ('type_1'  895)  (1034  895)]
38, 6, 0, 229271, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  86)  ('type_1'  'type_1')  ('type_1'  86)  (86  310)]
8, 6, 0, 229224, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  895)  ('type_1'  'type_1')  ('type_1'  895)  (895  983)  (983  895)]
54, 4, 0, 229203, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  675)  ('type_1'  'type_1')  ('type_1'  472)  ('type_1'  675)  (675  472)]
390, 3, 0, 229231, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  648)  ('type_1'  'type_1')  (648  649)]
38, 12, 12, 229254, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  86)  ('type_1'  'type_1')  ('type_1'  86)  (86  310)]
12, 4, 4, 229269, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  86)  ('type_1'  'type_1')  ('type_1'  86)  (517  86)]
0, 6, 6, 229286, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1034)  ('type_1'  'type_1')  ('type_1'  895)  (1034  895)]
38, 6, 6, 229303, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  86)  ('type_1'  'type_1')  ('type_1'  86)  (86  310)]
8, 2, 2, 229292, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  895)  ('type_1'  'type_1')  ('type_1'  895)  (895  983)  (983  895)]
0, 7, 7, 229310, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1034)  ('type_1'  'type_1')  ('type_1'  895)  (1034  895)]
341, 2, 0, 229339, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  512)  ('type_1'  'type_1')  (511  512)]
12, 5, 4, 229353, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  86)  ('type_1'  'type_1')  ('type_1'  86)  (517  86)]
38, 5, 5, 229369, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  86)  ('type_1'  'type_1')  ('type_1'  86)  (86  310)]
353, 2, 0, 229374, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1052)  ('type_1'  'type_1')  (1051  1052)  (1052  1051)]
8, 9, 9, 229286, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  895)  ('type_1'  'type_1')  ('type_1'  895)  (895  983)  (983  895)]
12, 4, 4, 229301, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  86)  ('type_1'  'type_1')  ('type_1'  86)  (517  86)]
0, 7, 7, 229319, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1034)  ('type_1'  'type_1')  ('type_1'  895)  (1034  895)]
38, 5, 5, 229335, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  86)  ('type_1'  'type_1')  ('type_1'  86)  (86  310)]
54, 2, 2, 229312, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  675)  ('type_1'  'type_1')  ('type_1'  472)  ('type_1'  675)  (675  472)]
819, 1, 0, 229312, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  457)  ('type_1'  'type_1')  ('type_1'  457)  (457  682)  (682  900)  (682  902)  (900  902)  (902  900)]
13, 3, 2, 229176, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  86)  ('type_0'  519)  ('type_1'  'type_1')  ('type_1'  86)  (519  86)]
8, 3, 3, 229154, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  895)  ('type_1'  'type_1')  ('type_1'  895)  (895  983)  (983  895)]
91, 2, 1, 228633, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  352)  ('type_0'  123)  ('type_1'  'type_1')  ('type_1'  352)  (123  352)  (352  123)]
10, 2, 2, 228666, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1111)  ('type_1'  'type_1')  ('type_1'  895)  (895  1111)]
12, 1, 1, 228678, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  86)  ('type_1'  'type_1')  ('type_1'  86)  (517  86)]
8, 2, 2, 228667, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  895)  ('type_1'  'type_1')  ('type_1'  895)  (895  983)  (983  895)]
615, 1, 0, 228697, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_1'  'type_1')  (426  427)]
646, 1, 0, 228667, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  576)  ('type_0'  575)  ('type_1'  'type_1')  (576  575)]
12, 1, 2, 228681, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  86)  ('type_1'  'type_1')  ('type_1'  86)  (517  86)]
0, 1, 2, 228695, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1034)  ('type_1'  'type_1')  ('type_1'  895)  (1034  895)]
12, 11, 22, 228739, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  86)  ('type_1'  'type_1')  ('type_1'  86)  (517  86)]
38, 1, 2, 228753, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  86)  ('type_1'  'type_1')  ('type_1'  86)  (86  310)]
8, 3, 6, 228737, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  895)  ('type_1'  'type_1')  ('type_1'  895)  (895  983)  (983  895)]
38, 2, 4, 228754, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  86)  ('type_1'  'type_1')  ('type_1'  86)  (86  310)]
12, 11, 22, 228798, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  86)  ('type_1'  'type_1')  ('type_1'  86)  (517  86)]
38, 1, 2, 228812, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  86)  ('type_1'  'type_1')  ('type_1'  86)  (86  310)]
8, 1, 1, 228812, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  895)  ('type_1'  'type_1')  ('type_1'  895)  (895  983)  (983  895)]
38, 8, 16, 228847, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  86)  ('type_1'  'type_1')  ('type_1'  86)  (86  310)]
8, 1, 2, 228849, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  895)  ('type_1'  'type_1')  ('type_1'  895)  (895  983)  (983  895)]
12, 2, 4, 228866, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  86)  ('type_1'  'type_1')  ('type_1'  86)  (517  86)]
38, 3, 6, 228886, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  86)  ('type_1'  'type_1')  ('type_1'  86)  (86  310)]
