Percent of connections that are bidirected: 0.005466416966138584
rule_id, collapses, edges_approx, total_cost, rule_details
20, 342, 0, 747337, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  3456)  ('type_1'  'type_1')  ('type_1'  1007)  (3456  1007)  (3456  3460)  (3456  3461)]
29, 703, 0, 724195, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  6504)  ('type_1'  'type_1')  ('type_1'  6504)  (6504  11555)  (6504  11556)  (6504  11557)]
20, 61, 0, 722196, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  3456)  ('type_1'  'type_1')  ('type_1'  1007)  (3456  1007)  (3456  3460)  (3456  3461)]
29, 51, 12, 720563, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  6504)  ('type_1'  'type_1')  ('type_1'  6504)  (6504  11555)  (6504  11556)  (6504  11557)]
20, 17, 0, 720016, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  3456)  ('type_1'  'type_1')  ('type_1'  1007)  (3456  1007)  (3456  3460)  (3456  3461)]
29, 148, 145, 715581, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  6504)  ('type_1'  'type_1')  ('type_1'  6504)  (6504  11555)  (6504  11556)  (6504  11557)]
69, 14, 0, 714501, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  11177)  ('type_1'  'type_1')  ('type_1'  11184)  ('type_1'  11177)  ('type_1'  11179)  ('type_1'  11183)  (11177  11179)  (11177  11183)  (11177  11184)]
40, 12, 0, 713952, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  8541)  ('type_1'  'type_1')  ('type_1'  8394)  ('type_1'  8396)  (8541  8394)  (8541  8396)  (8541  8544)]
19, 159, 0, 711296, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  3456)  ('type_1'  'type_1')  ('type_1'  1026)  (3456  1007)  (3456  1026)]
28, 548, 331, 703020, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  6504)  ('type_1'  'type_1')  ('type_1'  6504)  (6504  11555)  (6504  11556)]
19, 13, 0, 702813, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  3456)  ('type_1'  'type_1')  ('type_1'  1026)  (3456  1007)  (3456  1026)]
45, 9, 0, 702573, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  9062)  ('type_1'  'type_1')  (9062  9064)  (9062  9065)  (9062  9066)]
19, 15, 0, 702332, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  3456)  ('type_1'  'type_1')  ('type_1'  1026)  (3456  1007)  (3456  1026)]
