Percent of connections that are bidirected: 0.9583598219961856
rule_id, collapses, edges_approx, total_cost, rule_details
10, 36, 0, 71804, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  54)  ('type_1'  'type_1')  ('type_1'  54)  (54  313)  (54  657)  (54  909)  (54  1195)  (54  1462)  (313  54)  (657  54)  (909  54)  (1195  54)  (1462  54)]
9, 20, 0, 70112, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  54)  ('type_1'  'type_1')  ('type_1'  54)  (54  429)  (54  657)  (54  909)  (54  1195)  (429  54)  (657  54)  (909  54)  (1195  54)]
7, 11, 0, 69344, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  54)  ('type_1'  'type_1')  ('type_1'  54)  (54  657)  (54  909)  (54  1685)  (657  54)  (657  510)  (909  54)  (510  657)]
8, 25, 0, 67820, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  54)  ('type_1'  'type_1')  ('type_1'  54)  (54  535)  (54  657)  (54  909)  (535  54)  (657  54)  (909  54)]
40, 12, 0, 67403, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  20)  ('type_1'  'type_1')  ('type_1'  20)  (20  591)  (20  974)  (20  1677)  (974  20)]
1, 50, 0, 65544, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1154)  ('type_1'  'type_1')  ('type_1'  1154)  (1153  1154)  (1154  1153)  (1154  1392)  (1392  1154)]
21, 33, 0, 64331, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  54)  ('type_1'  'type_1')  ('type_1'  54)  (54  657)  (657  54)  (657  510)  (510  657)]
14, 12, 0, 64060, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  54)  ('type_1'  'type_1')  ('type_1'  54)  (54  909)  (54  1685)  (909  54)]
0, 128, 0, 62427, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1154)  ('type_1'  'type_1')  ('type_1'  1154)  (1153  1154)  (1154  1153)]
22, 58, 0, 62400, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  54)  ('type_1'  'type_1')  ('type_1'  54)  (54  1685)]
2, 38, 0, 61937, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_1'  'type_1')  (1173  1174)  (1174  1173)]
0, 6, 0, 61870, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1154)  ('type_1'  'type_1')  ('type_1'  1154)  (1153  1154)  (1154  1153)]
34, 4, 0, 61807, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  897)  ('type_1'  'type_1')  ('type_1'  897)  (809  810)  (810  809)  (897  809)]
95, 2, 0, 61796, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  100)  ('type_1'  'type_1')  ('type_1'  100)  (100  1448)  (1448  100)  (1447  1448)]
36, 2, 0, 61785, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  809)  ('type_1'  'type_1')  ('type_1'  809)  (897  809)  (897  898)  (898  897)]
148, 2, 0, 61678, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  12)  ('type_0'  30)  ('type_1'  'type_1')  ('type_1'  12)  ('type_1'  30)  (12  261)  (261  12)  (261  30)  (30  261)]
21, 1, 0, 61651, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  54)  ('type_1'  'type_1')  ('type_1'  54)  (54  657)  (657  54)  (657  510)  (510  657)]
0, 3, 0, 61623, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1154)  ('type_1'  'type_1')  ('type_1'  1154)  (1153  1154)  (1154  1153)]
95, 1, 0, 61608, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  100)  ('type_1'  'type_1')  ('type_1'  100)  (100  1448)  (1448  100)  (1447  1448)]
0, 3, 3, 61586, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1154)  ('type_1'  'type_1')  ('type_1'  1154)  (1153  1154)  (1154  1153)]
21, 1, 1, 61562, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  54)  ('type_1'  'type_1')  ('type_1'  54)  (54  657)  (657  54)  (657  510)  (510  657)]
0, 15, 13, 61404, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1154)  ('type_1'  'type_1')  ('type_1'  1154)  (1153  1154)  (1154  1153)]
21, 7, 14, 61191, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  54)  ('type_1'  'type_1')  ('type_1'  54)  (54  657)  (657  54)  (657  510)  (510  657)]
0, 1, 0, 61189, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1154)  ('type_1'  'type_1')  ('type_1'  1154)  (1153  1154)  (1154  1153)]
21, 9, 17, 60909, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  54)  ('type_1'  'type_1')  ('type_1'  54)  (54  657)  (657  54)  (657  510)  (510  657)]
0, 1, 0, 60907, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1154)  ('type_1'  'type_1')  ('type_1'  1154)  (1153  1154)  (1154  1153)]
