Percent of connections that are bidirected: 0.9583598219961856
rule_id, collapses, edges_approx, total_cost, rule_details
15, 36, 0, 71804, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  350)  ('type_1'  'type_1')  ('type_1'  350)  (350  351)  (350  1097)  (350  1171)  (350  1330)  (350  1470)  (351  350)  (1097  350)  (1171  350)  (1330  350)  (1470  350)]
8, 20, 0, 70112, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  558)  ('type_1'  'type_1')  ('type_1'  558)  (558  559)  (558  654)  (558  1328)  (558  1329)  (559  558)  (654  558)  (1328  558)  (1329  558)]
5, 22, 0, 69041, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  558)  ('type_1'  'type_1')  ('type_1'  558)  (558  643)  (558  1328)  (558  1329)  (1328  558)  (1329  558)]
2, 21, 0, 67769, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  405)  ('type_1'  'type_1')  ('type_1'  405)  (405  406)  (405  1126)  (405  1246)  (406  405)  (1126  405)  (1246  405)]
1, 43, 0, 66176, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  405)  ('type_1'  'type_1')  ('type_1'  405)  (405  1126)  (405  1246)  (1126  405)  (1246  405)]
17, 8, 0, 65915, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  239)  ('type_1'  'type_1')  ('type_1'  239)  (239  1056)  (239  1107)  (239  1331)  (1056  239)]
23, 8, 0, 65844, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  239)  ('type_1'  'type_1')  ('type_1'  239)  (239  1107)  (239  1331)]
4, 9, 0, 65651, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  402)  ('type_1'  'type_1')  ('type_1'  402)  (402  1085)  (402  1666)  (1085  402)]
0, 162, 0, 63576, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1421)  ('type_1'  'type_1')  ('type_1'  1421)  (1421  1422)  (1422  1421)]
4, 2, 0, 63535, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  402)  ('type_1'  'type_1')  ('type_1'  402)  (402  1085)  (402  1666)  (1085  402)]
0, 63, 9, 62745, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1421)  ('type_1'  'type_1')  ('type_1'  1421)  (1421  1422)  (1422  1421)]
3, 39, 0, 62737, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  402)  ('type_1'  'type_1')  ('type_1'  402)  (402  1666)]
27, 38, 0, 62274, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_1'  'type_1')  (1543  1544)  (1544  1543)]
0, 5, 0, 62220, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1421)  ('type_1'  'type_1')  ('type_1'  1421)  (1421  1422)  (1422  1421)]
54, 4, 0, 62199, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_1'  'type_1')  ('type_1'  1451)  (1451  1452)  (1452  1451)]
3, 4, 0, 62206, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  402)  ('type_1'  'type_1')  ('type_1'  402)  (402  1666)]
0, 13, 11, 62070, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1421)  ('type_1'  'type_1')  ('type_1'  1421)  (1421  1422)  (1422  1421)]
49, 2, 0, 62075, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1157)  ('type_1'  'type_1')  (1157  1158)  (1158  1157)]
30, 4, 1, 62104, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  302)  ('type_1'  'type_1')  ('type_1'  302)  (301  302)]
