Percent of connections that are bidirected: 0.9583598219961856
rule_id, collapses, edges_approx, total_cost, rule_details
37, 36, 0, 71804, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  168)  ('type_1'  'type_1')  ('type_1'  168)  (23  168)  (168  23)  (168  167)  (168  854)  (168  1252)  (168  1509)  (167  168)  (854  168)  (1252  168)  (1509  168)]
17, 21, 0, 70024, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  5)  ('type_1'  'type_1')  ('type_1'  5)  (5  6)  (5  186)  (5  284)  (5  952)  (6  5)  (186  5)  (284  5)  (952  5)]
21, 12, 0, 69180, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  5)  ('type_1'  'type_1')  ('type_1'  5)  (5  6)  (5  44)  (5  952)  (6  5)  (952  5)  (952  838)  (838  952)]
15, 25, 0, 67656, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  5)  ('type_1'  'type_1')  ('type_1'  5)  (5  6)  (5  144)  (5  186)  (6  5)  (144  5)  (186  5)]
56, 12, 0, 67239, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  222)  ('type_1'  'type_1')  ('type_1'  222)  (222  646)  (222  1030)  (222  1681)  (1030  222)]
1, 52, 0, 65304, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  549)  ('type_1'  'type_1')  ('type_1'  549)  (549  638)  (549  1339)  (638  549)  (1339  549)]
4, 32, 0, 64129, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  638)  ('type_1'  'type_1')  ('type_1'  638)  (549  638)  (549  1339)  (638  549)  (1339  549)]
20, 14, 0, 63806, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  5)  ('type_1'  'type_1')  ('type_1'  5)  (5  6)  (5  44)  (6  5)]
0, 165, 3, 61698, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  549)  ('type_1'  'type_1')  ('type_1'  549)  (549  1339)  (1339  549)]
5, 14, 0, 61715, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  490)  ('type_1'  'type_1')  ('type_1'  490)  (490  1165)]
56, 1, 0, 61687, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  222)  ('type_1'  'type_1')  ('type_1'  222)  (222  646)  (222  1030)  (222  1681)  (1030  222)]
5, 43, 0, 61655, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  490)  ('type_1'  'type_1')  ('type_1'  490)  (490  1165)]
0, 5, 0, 61601, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  549)  ('type_1'  'type_1')  ('type_1'  549)  (549  1339)  (1339  549)]
76, 5, 0, 61627, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  77)  ('type_1'  'type_1')  ('type_1'  77)  (637  77)]
4, 1, 0, 61600, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  638)  ('type_1'  'type_1')  ('type_1'  638)  (549  638)  (549  1339)  (638  549)  (1339  549)]
49, 2, 0, 61493, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  499)  ('type_0'  715)  ('type_1'  'type_1')  ('type_1'  499)  ('type_1'  715)  (498  499)  (498  715)  (499  498)  (715  498)]
4, 2, 0, 61428, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  638)  ('type_1'  'type_1')  ('type_1'  638)  (549  638)  (549  1339)  (638  549)  (1339  549)]
0, 18, 14, 61233, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  549)  ('type_1'  'type_1')  ('type_1'  549)  (549  1339)  (1339  549)]
4, 5, 9, 61081, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  638)  ('type_1'  'type_1')  ('type_1'  638)  (549  638)  (549  1339)  (638  549)  (1339  549)]
0, 1, 0, 61079, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  549)  ('type_1'  'type_1')  ('type_1'  549)  (549  1339)  (1339  549)]
4, 6, 12, 60898, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  638)  ('type_1'  'type_1')  ('type_1'  638)  (549  638)  (549  1339)  (638  549)  (1339  549)]
0, 1, 0, 60896, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  549)  ('type_1'  'type_1')  ('type_1'  549)  (549  1339)  (1339  549)]
4, 4, 8, 60779, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  638)  ('type_1'  'type_1')  ('type_1'  638)  (549  638)  (549  1339)  (638  549)  (1339  549)]
76, 2, 2, 60792, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  77)  ('type_1'  'type_1')  ('type_1'  77)  (637  77)]
0, 7, 14, 60740, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  549)  ('type_1'  'type_1')  ('type_1'  549)  (549  1339)  (1339  549)]
4, 3, 6, 60655, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  638)  ('type_1'  'type_1')  ('type_1'  638)  (549  638)  (549  1339)  (638  549)  (1339  549)]
